"LANGUAGE","Suomi"
"LBR_NAME","Uudistettu Elämänkaarien Tasapainotus"
"LBR_DESC","Pidentää ja satunnaistaa kansalaisten elämänkaaria, satunnaistaa alueelle muuttajien iät ja koulutustasot, ja antaa mahdollisuuden säätää, miten ihmiset matkustavat töihin ja töistä kotiin"
"LBR_SPN","Elämänkaari"
"LBR_SPN_WRN","Varoitus"
"LBR_SPN_BAL","Asetusten muuttaminen pelin ollessa käynnissä saattaa väliaikaisesti häiritä kaupungin tasapainoa"
"LBR_SPN_BAK","Varmuuskopion tallentaminen ennen asetusten muuttamista on VAHVASTI suositeltua"
"LBR_CAL","Elämänkaarenlaskentamalli"
"LBR_CAL_SUN","Mod Sunset Harbor elämänkaaret (oletus)"
"LBR_CAL_LEG","Mod Legacy elämänkaaret (alkuperäinen WG mod) - lyhyemmät elämänkaaret, vähän enemmän senioreja"
"LBR_CAL_VAN","Vanilla sunset Harbor elämänkaaret - vähemmän vaihtelevat elämänkaaret, vähän enemmän senioreita"
"LBR_SHO","(vain kun käytössä on Mod Sunset Harbor -elämänkaaret)"
"LBR_RET","Eläkeikävaihtoehdot"
"LBR_RET_USE","Käytä kustomoitua eläkeikää"
"LBR_RET_CUS","Kustomoitu eläkeikä"
"LBR_RET_NT1","Eläkeiän lasku ei vaikuta jo nykyisillä asetuksilla eläkkeelle jääneiden kansalaisten eläkestatukseen"
"LBR_RET_NT2","Eläkeiän nosto ei muuta jo nykyisillä asetuksilla eläkkeelle jääneiden kansalaisten ulkonäköä"
"LBR_CHI","Childhood age options"
"LBR_CHI_CUS","Use custom childhood ages"
"LBR_CHI_SCH","Age in years at which children start school"
"LBR_CHI_TEE","Age in years at which children start high school"
"LBR_CHI_YOU","Age in years at which children start college/university"
"LBR_HEA","Terveys"
"LBR_HEA_ILL","Satunnainen sairastuvuusosuus per elämän vuosikymmen"
"LBR_HEA_ILD","Ei vaikuta tietyistä syistä johtuviin sairastumisiin, esim. saasteet tai melu"
"LBR_HEA_AGE","Iät"
"LBR_DTH","Kuolema"
"LBR_DTH_TRN","Kuljetusta vaativien osuus kuolleista"
"LBR_DTH_TRD","(Pelin oletusarvo 67%, modin oletusarvo 50%)"
"LBR_IMM","Maahanmuutto"
"LBR_IMM_VAR","Lisää 25% vaihtelua alueelle muuttavien koulutustasoon"
"LBR_IMM_INC","Korota alueelle muuttavien keskimääräistä koulutustasoa"
"LBR_IMM_DEC","Laske alueelle muuttavien keskimääräistä kolutustasoa"
"LBR_SET","Asetukset"
"LBR_SET_LGD","Kirjaa kuolemat lokiin 'Lifecycle death log.txt'"
"LBR_SET_LGI","Kirjaa maahanmuutot lokiin 'Lifecycle immigration log.txt'"
"LBR_SET_LGT","Kirjaa kustomoidut liikennevalinnat lokiin 'Lifecycle transport log.txt' VAROITUS - HIDAS!"
"LBR_SET_LGS","Kirjaa sairastumistapahtumat lokiin 'Lifecycle sickness log.txt'"
"LBR_SPD","Nopeus"
"LBR_SPD_FAC","Kerroin jolla hidastetaan kansalaisten ikääntymistä, verrattuna peruspeliin"
"LBR_SPD_FN1","1 on peruspelin nopeus (35 peliviikkoa tarkoittaa 10 vuotta ikää), 2 on tuplasti hitaampi (70 peliviikkoa per 10 vuotta ikää), 3 on kolminkertaisesti hitaampi, jne. Kerroin 15 tarkoittaa että kansalaiset ikääntyvät noin vuoden jokaista pelivuotta kohti."
"LBR_SPD_FN2","Ei vaikuta elämänkaariin tai ikiin - vain vauhtiin jolla kansalaiset ikääntyvät suhteessa pelin nopeuteen"
"LBR_SPD_FN3","(Pelin oletus 1, modin oletus 3)"
"LBR_TRN","Liikenne"
"LBR_TRN_CUS","Käytä kustomoituja liikennevälinetodennäköisyyksiä"
"LBR_TRN_WEA","Varallisuuden taso"
"LBR_TRN_CAR","Auton käytön todennäköisyys (%)"
"LBR_TRN_BIK","Polkupyörän käytön todennäköisyys (%)"
"LBR_TRN_TAX","Taksin käytön todennäköisyys (%)"
"LBR_TRN_RLO","Asuinalue matalatiheyksinen"
"LBR_TRN_RHI","Asuinalue korkeatiheyksinen"
"LBR_TRN_RW2","Residential wall-to-wall"
"LBR_TRN_ERL","Ekoasuinalue matalatiheyksinen"
"LBR_TRN_ERH","Ekoasuinalue korkeatiheyksinen"
"LBR_TRN_CHL","Lapsi"
"LBR_TRN_TEN","Teini"
"LBR_TRN_YAD","Nuori aikuinen"
"LBR_TRN_ADL","Aikuinen"
"LBR_TRN_SEN","Seniori"
"LBR_DEF","oletus"
"LBR_RTD","Palauta oletukset"
"LBR_RTS","Palauta tallennetut"
"LBR_SAA","Tallenna ja käytä"
"LBR_ZRO","Nollaa kaikki"
"LBR_150_TIT","Uudistettu Elämänkaarien Tasapainotus on päivitetty versioon 1.5"
"LBR_150_NT1","Kuljetusmuotovalintoja voi nyt muokata options-paneelissa ja ekologisilla sekä tavallisilla asuinalueilla voi olla eri valinnat"
"LBR_150_NT2","Voit muuttaa kaupunkiin muuttavien ihmisten koulutustasoa"
"LBR_151_NT1","Säädä options-paneelin järjestystä käännöksiä varten"
"LBR_152_NT1","Yksinhuoltajat, joilla on alaikäisiä lapsia, säästyvät aikaiselta kuolemalta, jotta ei synny orpotalouksia"
"LBR_152_NT2","Voit nyt editoida liikkumismuotovaihtoehtoja options-paneelissa, ja asettaa erilaiset liikkumismuotovalinnat tavalliselle ja eko-asuinalueelle."
"LBR_152_NT3","Voit nyt muokata kaupunkiisi muuttavien ihmisten koulutustasoa"
"LBR_154_NT1","Change treatment of single parent death: remove orphaned children when both parents die (instead of sparing parent from death)"
"LBR_154_NT2","Add code to check for and remove building residents with invalid data"
"LBR_160_NT1","MAJOR NEW FEATURE: realistic early life ageing and progress, from early childhood to young adult (optional, customizable)"
"LBR_160_NT2","New early life ageing is matched to real-world values and stages and includes a pre-school stage of life (young children)"
"LBR_160_NT3","This option can be enabled/disabled and customized in the mod's options panel"
"LBR_160_NT4","NOTE: this option is initially enabled by default"
